rank,fold,model,seed,prevalence,auroc,ap,repeat_seed
Species,4,cnn_avgpool,13,0.058424425179042595,0.5528681009323587,0.06454180681343154,202
Species,4,cnn_avgpool,21,0.058424425179042595,0.5351532839174565,0.06359094364744883,202
Species,0,cnn_maxpool,42,0.057973664959765914,0.5007443962061822,0.053675828528682204,202
Species,0,cnn_maxpool,123,0.057973664959765914,0.4505951801340831,0.04908935767724289,202
Species,0,cnn_maxpool,7,0.057973664959765914,0.45101040072461507,0.04894687959035564,202
Species,0,cnn_maxpool,13,0.057973664959765914,0.45890387888297085,0.04995395061432521,202
Species,0,cnn_maxpool,21,0.057973664959765914,0.4629385001962805,0.05113105149184432,202
Species,1,cnn_maxpool,42,0.05792070162616481,0.49891951553181124,0.055090442078353744,202
Species,1,cnn_maxpool,123,0.05792070162616481,0.44775496619050303,0.04944883892218323,202
Species,1,cnn_maxpool,7,0.05792070162616481,0.44022430759667464,0.04901286266516146,202
Species,1,cnn_maxpool,13,0.05792070162616481,0.46739671767662794,0.051878211282862935,202
Species,1,cnn_maxpool,21,0.05792070162616481,0.4604748258131778,0.051382862343495594,202
Species,2,cnn_maxpool,42,0.05789186237028946,0.4628165162701668,0.04953573984952478,202
Species,2,cnn_maxpool,123,0.05789186237028946,0.4141488165770365,0.04652891084085124,202
Species,2,cnn_maxpool,7,0.05789186237028946,0.4151532828973354,0.04607957872022184,202
Species,2,cnn_maxpool,13,0.05789186237028946,0.4349199404490627,0.04806374858564149,202
Species,2,cnn_maxpool,21,0.05789186237028946,0.4416467657156746,0.048829400103659826,202
Species,3,cnn_maxpool,42,0.05818181818181818,0.5117277992277992,0.05530666349281396,202
Species,3,cnn_maxpool,123,0.05818181818181818,0.45860581563706565,0.05073044685322077,202
Species,3,cnn_maxpool,7,0.05818181818181818,0.4498166023166023,0.04966278947037684,202
Species,3,cnn_maxpool,13,0.05818181818181818,0.4726248793436293,0.05171291125268168,202
Species,3,cnn_maxpool,21,0.05818181818181818,0.47663760859073356,0.05274098379783422,202
Species,4,cnn_maxpool,42,0.058424425179042595,0.493160980397221,0.053769795766143366,202
Species,4,cnn_maxpool,123,0.058424425179042595,0.45109991218781476,0.04995207077490866,202
Species,4,cnn_maxpool,7,0.058424425179042595,0.4463541801182882,0.049409335978103264,202
Species,4,cnn_maxpool,13,0.058424425179042595,0.4634778790774555,0.05116622779462052,202
Species,4,cnn_maxpool,21,0.058424425179042595,0.4619463312585552,0.0523420166636234,202
Genus,0,cnn_avgpool,42,0.058490221166148784,0.5678961002717918,0.06154503703585873,202
Genus,0,cnn_avgpool,123,0.058490221166148784,0.7558125849349642,0.13187715058645288,202
Genus,0,cnn_avgpool,7,0.058490221166148784,0.5954511259949524,0.0778346851000572,202
Genus,0,cnn_avgpool,13,0.058490221166148784,0.7332010774606872,0.13126133183190203,202
Genus,0,cnn_avgpool,21,0.058490221166148784,0.7266228644923316,0.1354550798549916,202
Genus,1,cnn_avgpool,42,0.05843681519357195,0.5386515709852598,0.05752239251036084,202
Genus,1,cnn_avgpool,123,0.05843681519357195,0.7297468968192398,0.12095639800221272,202
Genus,1,cnn_avgpool,7,0.05843681519357195,0.5698900552754074,0.07197127756136015,202
Genus,1,cnn_avgpool,13,0.05843681519357195,0.7015194676105507,0.1254728525154144,202
Genus,1,cnn_avgpool,21,0.05843681519357195,0.692200227889837,0.1306233165737608,202
Genus,2,cnn_avgpool,42,0.05823475887170155,0.6108091787439613,0.07615887451329605,202
Genus,2,cnn_avgpool,123,0.05823475887170155,0.7761141304347827,0.2895440052225893,202
Genus,2,cnn_avgpool,7,0.05823475887170155,0.6212179951690822,0.10757010095000905,202
Genus,2,cnn_avgpool,13,0.05823475887170155,0.7493677536231884,0.2623537276496014,202
Genus,2,cnn_avgpool,21,0.05823475887170155,0.7394359903381642,0.23625181143267046,202
Genus,3,cnn_avgpool,42,0.05818181818181818,0.5509148769305019,0.059627333613675754,202
Genus,3,cnn_avgpool,123,0.05818181818181818,0.7342911438223938,0.1333918336187213,202
Genus,3,cnn_avgpool,7,0.05818181818181818,0.5722221887065637,0.07214120558421665,202
Genus,3,cnn_avgpool,13,0.05818181818181818,0.708273708976834,0.14366181181921903,202
Genus,3,cnn_avgpool,21,0.05818181818181818,0.6952283421814671,0.14965667908583222,202
Genus,4,cnn_avgpool,42,0.058424425179042595,0.5374012112916139,0.05777877159630569,202
Genus,4,cnn_avgpool,123,0.058424425179042595,0.7340323872000827,0.18543014489685267,202
Genus,4,cnn_avgpool,7,0.058424425179042595,0.6007231591724992,0.08174422704370418,202
Genus,4,cnn_avgpool,13,0.058424425179042595,0.7210542627650507,0.22039690438553722,202
Genus,4,cnn_avgpool,21,0.058424425179042595,0.7182261938583123,0.23699569293514663,202
Genus,0,cnn_maxpool,42,0.058490221166148784,0.48599119103086774,0.051947040430663755,202
Genus,0,cnn_maxpool,123,0.058490221166148784,0.4856999854397204,0.05281986138905484,202
Genus,0,cnn_maxpool,7,0.058490221166148784,0.4846109978644923,0.051954385680197425,202
Genus,0,cnn_maxpool,13,0.058490221166148784,0.5060880168899242,0.05573017470759394,202
Genus,0,cnn_maxpool,21,0.058490221166148784,0.5229476072607261,0.05815975688859535,202
Genus,1,cnn_maxpool,42,0.05843681519357195,0.4845956167571761,0.05136501716750932,202
Genus,1,cnn_maxpool,123,0.05843681519357195,0.5000533359193173,0.053163026331986316,202
Genus,1,cnn_maxpool,7,0.05843681519357195,0.4918626357641583,0.052209490036892695,202
Genus,1,cnn_maxpool,13,0.05843681519357195,0.5226320064003103,0.056160831257032445,202
Genus,1,cnn_maxpool,21,0.05843681519357195,0.541658989526765,0.0593408460767961,202
Genus,2,cnn_maxpool,42,0.05823475887170155,0.47925090579710145,0.050774772400103696,202
Genus,2,cnn_maxpool,123,0.05823475887170155,0.4935939009661836,0.05281599962846892,202
Genus,2,cnn_maxpool,7,0.05823475887170155,0.4857077294685991,0.05167388301911517,202
Genus,2,cnn_maxpool,13,0.05823475887170155,0.5137512077294686,0.055468564300151096,202
Genus,2,cnn_maxpool,21,0.05823475887170155,0.53543961352657,0.05883081613154372,202
Genus,3,cnn_maxpool,42,0.05818181818181818,0.4711157697876448,0.04978289753253071,202
