rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Family,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9825582729468598,0.864902062278864,101
Family,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9822916666666666,0.8663751898837666,101
Family,3,5500,320,0.05818181818181818,tiny_mlp,42,0.9710002413127413,0.7695843911623259,101
Family,3,5500,320,0.05818181818181818,tiny_mlp,123,0.9696881032818533,0.7514116068613628,101
Family,3,5500,320,0.05818181818181818,tiny_mlp,7,0.9688157577220077,0.7497938851363047,101
Family,3,5500,320,0.05818181818181818,tiny_mlp,13,0.9722683397683398,0.7708469379238228,101
Family,3,5500,320,0.05818181818181818,tiny_mlp,21,0.9684338803088803,0.7507636043691044,101
Family,4,5306,310,0.058424425179042595,tiny_mlp,42,0.9612703065678349,0.7072846209927374,101
Family,4,5306,310,0.058424425179042595,tiny_mlp,123,0.964021539812495,0.744856739073725,101
Family,4,5306,310,0.058424425179042595,tiny_mlp,7,0.9578462770216173,0.684809959642917,101
Family,4,5306,310,0.058424425179042595,tiny_mlp,13,0.9625313153748806,0.7355111139441803,101
Family,4,5306,310,0.058424425179042595,tiny_mlp,21,0.9654120070249746,0.7361979157689101,101
Order,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9891125509609785,0.8746070267978553,101
Order,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9903228741991845,0.9021253043356937,101
Order,0,5471,320,0.058490221166148784,tiny_mlp,7,0.9892508736167734,0.8805582411197129,101
Order,0,5471,320,0.058490221166148784,tiny_mlp,13,0.9902179188507085,0.9022552100193116,101
Order,0,5471,320,0.058490221166148784,tiny_mlp,21,0.9884888856532713,0.8607100115108326,101
Order,1,5476,320,0.05843681519357195,tiny_mlp,42,0.9822633824670287,0.7519708653137864,101
Order,1,5476,320,0.05843681519357195,tiny_mlp,123,0.9804869326997672,0.7093878359058091,101
Order,1,5476,320,0.05843681519357195,tiny_mlp,7,0.9812924262994569,0.72641444893495,101
Order,1,5476,320,0.05843681519357195,tiny_mlp,13,0.9791517164468581,0.691200348569744,101
Order,1,5476,320,0.05843681519357195,tiny_mlp,21,0.9834313178820792,0.7556442559503587,101
Order,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9970084541062803,0.9607968895548321,101
Order,2,5495,320,0.05823475887170155,tiny_mlp,123,0.9957264492753624,0.9532197229101171,101
Order,2,5495,320,0.05823475887170155,tiny_mlp,7,0.9964027777777777,0.9589218635550466,101
Order,2,5495,320,0.05823475887170155,tiny_mlp,13,0.996251811594203,0.957264983288431,101
Order,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9968472222222222,0.9640600795448634,101
Order,3,5500,320,0.05818181818181818,tiny_mlp,42,0.9908789816602316,0.9096453206797716,101
Order,3,5500,320,0.05818181818181818,tiny_mlp,123,0.9869492036679537,0.8846978584137111,101
Order,3,5500,320,0.05818181818181818,tiny_mlp,7,0.9904379826254827,0.9034755157985441,101
Order,3,5500,320,0.05818181818181818,tiny_mlp,13,0.9892676158301159,0.9000210633130273,101
Order,3,5500,320,0.05818181818181818,tiny_mlp,21,0.9895312500000001,0.8999513449289693,101
Order,4,5306,310,0.058424425179042595,tiny_mlp,42,0.988576022108009,0.9117392096166559,101
Order,4,5306,310,0.058424425179042595,tiny_mlp,123,0.9866370515767452,0.9063704192921528,101
Order,4,5306,310,0.058424425179042595,tiny_mlp,7,0.9864323717038147,0.9038067219123914,101
Order,4,5306,310,0.058424425179042595,tiny_mlp,13,0.9860933908417057,0.8975251990755886,101
Order,4,5306,310,0.058424425179042595,tiny_mlp,21,0.9866138071747721,0.9011903894185684,101
Phylum,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9985603523587653,0.978164525987754,101
Phylum,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9934260337798486,0.9269897025433145,101
Phylum,0,5471,320,0.058490221166148784,tiny_mlp,7,0.9982272859638905,0.9742060296217295,101
Phylum,0,5471,320,0.058490221166148784,tiny_mlp,13,0.9984317365560086,0.9773098544426598,101
